1,1,99 Ranch Market,Various locations around LA,,"Everything Asian - Thai, Japanese (Sushi), Korean, Chinese (Dim Sum) Vietnamese - they have it all. Great cheap produce, meats & seafood.",E,P,M
2,1,A-Grocery Warehouse,1487 W Sunset Blvd,"Los Angeles, CA 90026","A great shop for your Asian ingredient needs for Thai, Chinese (Dim Sum), Indian & Vietnamese. Kaffir lime leaves, fresh herbs, fresh turmeric, lemongrass, Thai eggplant, galangal & much more!",E,P,M
3,1,Bangluck Market,12980 Sherman Way,"North Hollywood, CA 91605","Wonderful Thai market in the heart of NoHo's own mini Thai Town. All the Thai ingredients you need for your curries & soups. Nice, inexpensive produce, & a very eclectic, vast seafood department.",E,P,M
4,1,Cheesemaking.com ,Online,,"A great online resource for all things cheese-making - supplies, info, recipes, advice. This is Ricki Carroll's site, regarded as the goddess of home cheese-making.",D,,
5,1,El Camaguey,10925 Venice Blvd,"Los Angeles, CA 90034","Mexican ingredients, large selection of dried chilies (including the often illusive cascabelles!), & wonderful fresh meats.",E,M,
6,1,Everson Royce,155 N Raymond Ave,"Pasadena, CA 91103 ","Second location from the owners of the very popular Silverlake Wine. This shop in Oldtown Pasadena features not only great wine, but a nice selection of craft beers & spirits. Weekly wine tastings, too!",A,,
7,1,Farmer's Markets in LA,http://projects.latimes.com/farmers-markets/,,"Check out this extensive listing of Farmer's Markets from the LA Times. It's searchable by day of the week, zip code, or name.  A great way to find new markets & plan an adventure!   ",F,P,M
8,1,Fish King ,722 N Glendale Ave,"Glendale, CA 91206",Some of the best fresh fish in town! They also stock a nice but small selection of Asian ingredients so you can grab any sushi making supplies you need at the same time.,M,,
9,1,Granny's Pantry ,560 S ARroyo Pkwy,"Pasadena, CA 91105","Raw milk, hooray!",D,,
10,1,Harmony Farms,2824 Foothill Blvd,"La Crescenta, CA 91214","This market has everything when it comes to meats. Crazy weird game meats, lovely grass fed awesomeness, sausages made from everything you can think of. They are amazing!",M,,
11,1,India Sweets and Spices,3126 Los Feliz Blvd,"Los Angeles, CA 90039","A rockin' store for your Indian supplies (like spices, curry leaves & papadums), Moroccan & Persian needs, too.",E,S,
12,1,India Sweets and Spices,9409 Venice Blvd,"Culver City, CA 90232","This westside branch of ISS is more focused on it's restaurant than market, but still carries the basics you need to recreate your own Shortcut to Nirvana evening.",E,S,
13,1,La Cañada Flintridge Farmers Market ,1300 Foothill Blvd,"La Canada Flintridge, CA 91012","Every Saturday from 9am - 1pm. No entertainment here, just a straight farmer's market, but a really lovely & varied one.  You can get everything here including flowers, coffee, grass-fed beef, freshly caught fish, organic produce & cheese. ",F,P,
14,1,LAX-C ,1100 N Main St,"Los Angeles, CA 90012 ","Another great market for Asian ingredients, especially Thai. This market is huge - think the Thai version of Costco, so give yourself plenty of time to explore. Grab a delicious coconut pancake made fresh for you in the parking lot on weekends. A fabulous treat!",E,P,S
15,1,Marukai Market,123 S Onizuka St,"Los Angeles, CA 90012 ","A great market downtown for all your Japanesei ingedients. Nice selection of pre-cut sushi and sashimi fish, plus all the sauces, nori, miso & sake you need for a Sushi night at home.",E,,
16,1,McCall's Meat & Fish Company ,2117 Hillhurst Ave,"Los Angeles, CA 90027","Gorgeous meats & seafood. All of their meats are humanely raised (no hormones etc. either) & their seafood is all wild caught or responsibly farmed. The shop includes a small ""market"" of rourmet ingredients & a nice little cheese selection, too. Oh, & they make their own sausages! Nom!",M,,
17,1,Mitsuwa,515 W Las Tunas Dr,"San Gabriel, CA 91776 ","A lovely selection of sushi fish & pickled vegetables. This is the place to shop if you are going to throw a Sushi making party: vinegars, rice, sake, beer, nori, wasabi, miso & a small selection of produce.",E,M,P
18,1,Mitsuwa,3760 S Centinela Ave,"Los Angeles, CA 90066 ","A lovely selection of sushi fish & pickled vegetables. The place to shop if you are going to throw a Sushi making party: vinegars, rice, sake, beer, nori, wasabi, miso & a small selection of produce.",E,M,P
19,1,Montrose Harvest Market,Honolulu Ave,"Montrose, CA 91021","Every Sunday from 9am - 2pm. Our favorite local farmers market for the great selection of fresh, local produce,  freshly baked breads, goat cheese, ethnic foods, local honey, nuts & berries, plants & flowers & more. There's always live music, crafts vendors & some local food stands so you can shop, eat, stroll. A perfect Sunday!",F,P,
20,1,Santa Monica Market and Cafe ,1000 Wilshire Blvd,"Santa Monica, CA 90401",A great fish market that sells both fresh & frozen fish. Sustainably responsible.,M,,
21,1,Sprouts,Various locations around LA,,They carry Organic Pastures brand raw milk.  Also check out the raw cream & butter.  ,D,,
22,1,Super King Markets,"Locations in LA, Altadena, Northridge, Van Nuys, Claremont and Anaheim",,"A fabulous (and popular) store for ethnic ingredients, fresh produce, herbs & spices at awesome prices! They even have a nut bar to purchase fresh nuts by weight. You'll find membrillo/guava paste and empanada wrappers for Tapas, dried & fresh chillies, Mexican cheeses. Also great for Greek & Persian ingredients, with lavash, grape leaves, philo dough, barberries, pommegranate molases & rosewater.",E,P,M
23,1,Supermercado Brasil,"10826 Venice Blvd, Ste 105","Culver City, CA 90232","One stop shopping for Brazilian ingredients:  manioc, tapioca starch, passion-fruit puree!",E,,
24,1,Topline Wine & Spirits,4718 San Fernando Road,"Glendale, CA 91204","Basically, a small warehouse of wine. This is not a fancy-pants wine shop by any means, but they have a vast, eclectic wine selection & an incredibly knowledgeable staff. They also have a spirits room with prices that beat Bevmo!",A,,
25,1,Vallarta Supermarket,"Over 40 locations in California - in LA they're in the SF Valley, Valencia, Burbank and the High Desert areas",,"Another awesome Mexican market where you'll find ingredients for Mole & Tapas & more! Homemade tortillas & fresh crema at most locations. Great prices, too.",E,P,M
26,1,Vemdone Wine & Spirits,10600 Riverside Dr,"North Hollywood, CA 91602",One of the best craft beer selections in LA. A crazy amount of California craft beers along with a nice variety of Belgian & foreign beers to choose from. Wine & spirits to choose from as well. But go for the beer!!,A,,
27,1,"Wine, Beer and Cheesemaking Shop ",22836 Ventura Blvd,"Woodland Hills, CA 91364","This place has it all when it comes to cheesemaking. Molds, cultures, enzymes, acids, very cute & tiny teaspooons, cheese-cloth galore! This is also a good spot to find sources for local milk. Wine & beer-making supplies, too. They take phone orders & ship!  Tell them Hipcooks sent ya!",D,,
28,1,Woori Market USA ,333 S Alameda St,"Los Angeles, CA 90013",Asian goods galore in the heart of Little Tokyo. Nice produce & a good fish selection.,E,M,
1,2,99 Ranch Market,Various locations around LA,,"Everything Asian - Thai, Japanese (Sushi), Korean, Chinese (Dim Sum) Vietnamese - they have it all. Great cheap produce, meats & seafood.",E,P,M
2,2,A-Grocery Warehouse,1487 W Sunset Blvd,"Los Angeles, CA 90026","A great shop for your Asian ingredient needs for Thai, Chinese (Dim Sum), Indian & Vietnamese. Kaffir lime leaves, fresh herbs, fresh turmeric, lemongrass, Thai eggplant, galangal & much more!",E,P,M
3,2,Bangluck Market,12980 Sherman Way,"North Hollywood, CA 91605","Wonderful Thai market in the heart of NoHo's own mini Thai Town. All the Thai ingredients you need for your curries & soups. Nice, inexpensive produce, & a very eclectic, vast seafood department.",E,P,M
4,2,Cheesemaking.com ,Online,,"A great online resource for all things cheese-making - supplies, info, recipes, advice. This is Ricki Carroll's site, regarded as the goddess of home cheese-making.",D,,
5,2,El Camaguey,10925 Venice Blvd,"Los Angeles, CA 90034","Mexican ingredients, large selection of dried chilies (including the often illusive cascabelles!), & wonderful fresh meats.",E,M,
6,2,Everson Royce,155 N Raymond Ave,"Pasadena, CA 91103 ","Second location from the owners of the very popular Silverlake Wine. This shop in Oldtown Pasadena features not only great wine, but a nice selection of craft beers & spirits. Weekly wine tastings, too!",A,,
7,2,Farmer's Markets in LA,http://projects.latimes.com/farmers-markets/,,"Check out this extensive listing of Farmer's Markets from the LA Times. It's searchable by day of the week, zip code, or name.  A great way to find new markets & plan an adventure!   ",F,P,M
8,2,Fish King ,722 N Glendale Ave,"Glendale, CA 91206",Some of the best fresh fish in town! They also stock a nice but small selection of Asian ingredients so you can grab any sushi making supplies you need at the same time.,M,,
9,2,Granny's Pantry ,560 S ARroyo Pkwy,"Pasadena, CA 91105","Raw milk, hooray!",D,,
10,2,Harmony Farms,2824 Foothill Blvd,"La Crescenta, CA 91214","This market has everything when it comes to meats. Crazy weird game meats, lovely grass fed awesomeness, sausages made from everything you can think of. They are amazing!",M,,
11,2,India Sweets and Spices,3126 Los Feliz Blvd,"Los Angeles, CA 90039","A rockin' store for your Indian supplies (like spices, curry leaves & papadums), Moroccan & Persian needs, too.",E,S,
12,2,India Sweets and Spices,9409 Venice Blvd,"Culver City, CA 90232","This westside branch of ISS is more focused on it's restaurant than market, but still carries the basics you need to recreate your own Shortcut to Nirvana evening.",E,S,
13,2,La Cañada Flintridge Farmers Market ,1300 Foothill Blvd,"La Canada Flintridge, CA 91012","Every Saturday from 9am - 1pm. No entertainment here, just a straight farmer's market, but a really lovely & varied one.  You can get everything here including flowers, coffee, grass-fed beef, freshly caught fish, organic produce & cheese. ",F,P,
14,2,LAX-C ,1100 N Main St,"Los Angeles, CA 90012 ","Another great market for Asian ingredients, especially Thai. This market is huge - think the Thai version of Costco, so give yourself plenty of time to explore. Grab a delicious coconut pancake made fresh for you in the parking lot on weekends. A fabulous treat!",E,P,S
15,2,Marukai Market,123 S Onizuka St,"Los Angeles, CA 90012 ","A great market downtown for all your Japanesei ingedients. Nice selection of pre-cut sushi and sashimi fish, plus all the sauces, nori, miso & sake you need for a Sushi night at home.",E,,
16,2,McCall's Meat & Fish Company ,2117 Hillhurst Ave,"Los Angeles, CA 90027","Gorgeous meats & seafood. All of their meats are humanely raised (no hormones etc. either) & their seafood is all wild caught or responsibly farmed. The shop includes a small ""market"" of rourmet ingredients & a nice little cheese selection, too. Oh, & they make their own sausages! Nom!",M,,
17,2,Mitsuwa,515 W Las Tunas Dr,"San Gabriel, CA 91776 ","A lovely selection of sushi fish & pickled vegetables. This is the place to shop if you are going to throw a Sushi making party: vinegars, rice, sake, beer, nori, wasabi, miso & a small selection of produce.",E,M,P
18,2,Mitsuwa,3760 S Centinela Ave,"Los Angeles, CA 90066 ","A lovely selection of sushi fish & pickled vegetables. The place to shop if you are going to throw a Sushi making party: vinegars, rice, sake, beer, nori, wasabi, miso & a small selection of produce.",E,M,P
19,2,Montrose Harvest Market,Honolulu Ave,"Montrose, CA 91021","Every Sunday from 9am - 2pm. Our favorite local farmers market for the great selection of fresh, local produce,  freshly baked breads, goat cheese, ethnic foods, local honey, nuts & berries, plants & flowers & more. There's always live music, crafts vendors & some local food stands so you can shop, eat, stroll. A perfect Sunday!",F,P,
20,2,Santa Monica Market and Cafe ,1000 Wilshire Blvd,"Santa Monica, CA 90401",A great fish market that sells both fresh & frozen fish. Sustainably responsible.,M,,
21,2,Sprouts,Various locations around LA,,They carry Organic Pastures brand raw milk.  Also check out the raw cream & butter.  ,D,,
22,2,Super King Markets,"Locations in LA, Altadena, Northridge, Van Nuys, Claremont and Anaheim",,"A fabulous (and popular) store for ethnic ingredients, fresh produce, herbs & spices at awesome prices! They even have a nut bar to purchase fresh nuts by weight. You'll find membrillo/guava paste and empanada wrappers for Tapas, dried & fresh chillies, Mexican cheeses. Also great for Greek & Persian ingredients, with lavash, grape leaves, philo dough, barberries, pommegranate molases & rosewater.",E,P,M
23,2,Supermercado Brasil,"10826 Venice Blvd, Ste 105","Culver City, CA 90232","One stop shopping for Brazilian ingredients:  manioc, tapioca starch, passion-fruit puree!",E,,
24,2,Topline Wine & Spirits,4718 San Fernando Road,"Glendale, CA 91204","Basically, a small warehouse of wine. This is not a fancy-pants wine shop by any means, but they have a vast, eclectic wine selection & an incredibly knowledgeable staff. They also have a spirits room with prices that beat Bevmo!",A,,
25,2,Vallarta Supermarket,"Over 40 locations in California - in LA they're in the SF Valley, Valencia, Burbank and the High Desert areas",,"Another awesome Mexican market where you'll find ingredients for Mole & Tapas & more! Homemade tortillas & fresh crema at most locations. Great prices, too.",E,P,M
26,2,Vemdone Wine & Spirits,10600 Riverside Dr,"North Hollywood, CA 91602",One of the best craft beer selections in LA. A crazy amount of California craft beers along with a nice variety of Belgian & foreign beers to choose from. Wine & spirits to choose from as well. But go for the beer!!,A,,
27,2,"Wine, Beer and Cheesemaking Shop ",22836 Ventura Blvd,"Woodland Hills, CA 91364","This place has it all when it comes to cheesemaking. Molds, cultures, enzymes, acids, very cute & tiny teaspooons, cheese-cloth galore! This is also a good spot to find sources for local milk. Wine & beer-making supplies, too. They take phone orders & ship!  Tell them Hipcooks sent ya!",D,,
28,2,Woori Market USA ,333 S Alameda St,"Los Angeles, CA 90013",Asian goods galore in the heart of Little Tokyo. Nice produce & a good fish selection.,E,M,
1,6,99 Ranch Market,15333 Culver Dr,"IRVINE, CA","Everything Asian - Thai, Japanese (Sushi), Korean, Chinese (Dim Sum) Vietnamese - they have it all. Great cheap produce, meats & seafood.",E,P,M
2,6,Mitsuwa Marketplace,66 Paularino Ave,"Costa Mesa, CA","A lovely selection of sushi fish & pickled vegetables. The place to shop if you are going to throw a Sushi making party: vinegars, rice, sake, beer, nori, wasabi, miso & a small selection of produce. You can also find ingredients for Thai and Dim Sum!",E,P,M
3,6,A Dong Supermarket,9221 Bolsa Ave,"Westminster, CA","Wonderful Asian market in the heart of Little Saigon. All the Chinese and Thai ingredients you need for your curries & soups, plus a small selection of Japanese ingredients. Nice, inexpensive produce, & a very eclectic, vast seafood department.",E,P,M
4,6,Cheesemaking.com ,Online,,"A great online resource for all things cheese-making - supplies, info, recipes, advice. This is Ricki Carroll's site, regarded as the goddess of home cheese-making.",D,,
5,6,Puerto Madero,1225 W 17TH St.,"Santa Ana, CA 92706","A Latin American market, with a wonderful deli inside!  Great place to shop for South American and Spanish ingredients",E,M,
6,6,Ansar Gallery,2505 El Camino Real,"Tustin, CA 92782","A fabulous store for ethnic ingredients, fresh produce, herbs & spices at awesome prices!",E,P,M
7,6,Santa Monica Seafood,154 E 17th St," Costa Mesa, CA 92627",A great fish market that sells both fresh & frozen fish. Sustainably responsible.,M,,
8,6,Mother's Market,151 East Memory Lane,"Santa Ana, CA 92705","Raw milk, hooray!",,,
9,6,Growers Direct,"101 E 17th St, ","Costa Mesa, CA 92627",Wonderful selection of local and organic produce at great prices!,P,,
10,6,Little India,3167 Yorba Linda Blvd,"Fullerton, CA 92831","A rockin' store for your Indian supplies (like spices, curry leaves & papadums); Moroccan & Persian needs, too.",E,S,
1,3,Anzen Hiroshi,736 NE MLK Blvd,"Portland, OR 97232","A conveniently located Japanese store in the heart of Portland. They have a variety of tea, dishware, rice, noodles, a small selection of produce & wonderful sushi fish.",E,M,
2,3,Barbur World Foods,9845 SW Barbur Blvd,"Portland, OR 97219","Where you want to shop for Persian, Moroccan, Indian & European ingredients. Heck, this is where you want to shop for EVERYTHING - we love this place! You'll find spices galore, pomegranate molasses, barberries, rosewater, quality meats, grains, empanada & samosa wrappers, filo dough, paella rice, grape leaves, great wines & the best fresh herbs in town! Yeah! Stave off your drooling with something delicious from the deli. Sweet & helpful staff.",E,P,M
